freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.590e+00,1.339e+02,5.165e+01,1.912e+02
1.5,1.990e+01,9.104e+01,7.575e+01,1.867e+02
3.1,2.177e+01,3.392e+01,6.681e+01,1.225e+02
4.6,2.162e+01,3.899e+02,6.606e+01,4.776e+02
6.2,2.111e+01,1.452e+03,6.934e+01,1.542e+03
7.7,2.051e+01,2.610e+03,7.667e+01,2.707e+03
9.2,4.068e+01,4.054e+03,7.278e+01,4.167e+03
10.8,6.277e+01,5.686e+03,8.009e+01,5.828e+03
12.3,4.364e+01,6.721e+03,8.165e+01,6.846e+03
13.9,4.777e+01,7.012e+03,7.653e+01,7.136e+03
15.4,3.785e+01,7.964e+03,7.572e+01,8.078e+03
16.9,2.876e+01,1.098e+04,7.041e+01,1.108e+04
18.5,3.015e+01,1.637e+04,7.837e+01,1.648e+04
20.0,3.774e+01,2.111e+04,1.305e+02,2.128e+04
21.6,4.664e+01,2.627e+04,2.517e+02,2.657e+04
23.1,6.482e+01,3.395e+04,4.988e+02,3.451e+04
24.6,1.004e+02,4.405e+04,9.481e+02,4.510e+04
26.2,1.510e+02,6.323e+04,1.877e+03,6.525e+04
27.7,2.634e+02,1.012e+05,4.816e+03,1.062e+05
29.3,4.471e+02,1.508e+05,1.289e+04,1.641e+05
30.8,8.194e+02,2.150e+05,3.231e+04,2.481e+05
32.4,1.470e+03,2.264e+05,5.719e+04,2.850e+05
33.9,1.902e+03,1.566e+05,6.582e+04,2.244e+05
35.4,1.418e+03,8.055e+04,4.671e+04,1.287e+05
37.0,8.118e+02,6.271e+04,3.553e+04,9.906e+04
38.5,6.932e+02,6.019e+04,2.994e+04,9.082e+04
40.1,6.597e+02,4.549e+04,2.044e+04,6.659e+04
41.6,7.605e+02,3.261e+04,2.377e+04,5.714e+04
43.1,1.197e+03,2.463e+04,3.517e+04,6.100e+04
44.7,1.298e+03,1.624e+04,4.033e+04,5.787e+04
46.2,9.595e+02,6.807e+03,3.230e+04,4.006e+04
47.8,8.144e+02,2.925e+03,3.075e+04,3.449e+04
49.3,7.963e+02,1.460e+03,3.495e+04,3.721e+04
50.8,8.807e+02,7.379e+02,4.060e+04,4.222e+04
52.4,9.821e+02,7.313e+02,4.496e+04,4.668e+04
53.9,1.056e+03,1.191e+03,4.265e+04,4.490e+04
55.5,8.817e+02,1.646e+03,3.268e+04,3.521e+04
