freq,psd_x,psd_y,psd_z,psd_xyz
170.6,3.257e+01,1.158e+02,8.850e+01,2.369e+02
172.2,3.074e+01,1.075e+02,9.164e+01,2.299e+02
173.7,2.864e+01,9.400e+01,8.796e+01,2.106e+02
175.2,2.765e+01,7.981e+01,7.640e+01,1.839e+02
176.8,2.598e+01,8.070e+01,8.071e+01,1.874e+02
178.3,2.474e+01,7.051e+01,8.173e+01,1.770e+02
179.8,2.229e+01,6.291e+01,7.881e+01,1.640e+02
181.4,2.255e+01,6.028e+01,7.731e+01,1.601e+02
182.9,2.314e+01,5.876e+01,7.535e+01,1.573e+02
184.5,2.254e+01,5.708e+01,6.829e+01,1.479e+02
186.0,2.216e+01,5.926e+01,7.696e+01,1.584e+02
187.5,2.157e+01,5.911e+01,8.276e+01,1.634e+02
189.1,2.092e+01,5.694e+01,8.007e+01,1.579e+02
190.6,2.199e+01,5.650e+01,7.943e+01,1.579e+02
192.1,2.092e+01,5.771e+01,8.688e+01,1.655e+02
193.7,2.224e+01,6.139e+01,8.155e+01,1.652e+02
195.2,2.282e+01,5.871e+01,7.614e+01,1.577e+02
196.8,2.376e+01,6.448e+01,7.905e+01,1.673e+02
198.3,2.178e+01,6.158e+01,7.946e+01,1.628e+02
199.8,2.280e+01,6.249e+01,8.343e+01,1.687e+02
