freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.466e+02,7.715e+00,7.613e+00,1.619e+02
1.6,9.944e+01,2.460e+01,3.450e+01,1.585e+02
3.1,3.776e+01,2.737e+01,3.940e+01,1.045e+02
4.7,3.445e+02,2.883e+01,3.543e+01,4.088e+02
6.3,1.126e+03,2.663e+01,3.819e+01,1.191e+03
7.9,1.872e+03,2.821e+01,4.323e+01,1.943e+03
9.4,2.739e+03,2.892e+01,4.210e+01,2.810e+03
11.0,3.488e+03,3.024e+01,4.356e+01,3.562e+03
12.6,4.456e+03,2.875e+01,4.112e+01,4.526e+03
14.1,5.649e+03,2.673e+01,3.854e+01,5.714e+03
15.7,6.998e+03,2.581e+01,4.172e+01,7.066e+03
17.3,8.515e+03,2.591e+01,4.373e+01,8.585e+03
18.8,1.021e+04,2.947e+01,3.997e+01,1.028e+04
20.4,1.217e+04,2.948e+01,3.795e+01,1.224e+04
22.0,1.425e+04,3.151e+01,4.179e+01,1.433e+04
23.6,1.618e+04,3.505e+01,4.815e+01,1.626e+04
25.1,1.768e+04,5.763e+01,5.491e+01,1.779e+04
26.7,2.012e+04,8.080e+01,5.531e+01,2.026e+04
28.3,2.300e+04,6.974e+01,4.720e+01,2.311e+04
29.8,2.671e+04,6.770e+01,4.309e+01,2.682e+04
31.4,3.045e+04,7.272e+01,4.547e+01,3.056e+04
33.0,3.245e+04,8.689e+01,5.924e+01,3.260e+04
34.5,3.350e+04,1.116e+02,7.833e+01,3.369e+04
36.1,3.438e+04,9.238e+01,9.252e+01,3.456e+04
37.7,3.584e+04,7.349e+01,8.635e+01,3.600e+04
39.3,3.754e+04,2.063e+02,7.935e+01,3.782e+04
40.8,4.041e+04,3.334e+02,6.622e+01,4.081e+04
42.4,4.048e+04,2.075e+02,6.051e+01,4.075e+04
44.0,4.587e+04,1.793e+02,5.840e+01,4.611e+04
45.5,5.289e+04,1.837e+02,6.728e+01,5.314e+04
47.1,5.981e+04,1.264e+02,1.055e+02,6.004e+04
48.7,6.686e+04,1.516e+02,1.437e+02,6.716e+04
50.3,6.969e+04,3.624e+02,1.613e+02,7.022e+04
51.8,6.508e+04,7.054e+02,1.600e+02,6.595e+04
53.4,5.785e+04,7.277e+02,1.092e+02,5.869e+04
55.0,6.304e+04,5.835e+02,7.567e+01,6.370e+04
56.5,8.160e+04,6.153e+02,8.074e+01,8.230e+04
58.1,1.117e+05,1.038e+03,1.017e+02,1.128e+05
59.7,1.486e+05,2.136e+03,2.013e+02,1.510e+05
61.2,1.744e+05,4.083e+03,2.878e+02,1.788e+05
62.8,2.015e+05,7.295e+03,2.537e+02,2.091e+05
64.4,2.142e+05,1.033e+04,1.806e+02,2.247e+05
66.0,1.926e+05,1.129e+04,2.109e+02,2.041e+05
67.5,1.493e+05,1.096e+04,3.146e+02,1.605e+05
69.1,1.056e+05,9.812e+03,5.007e+02,1.159e+05
70.7,7.642e+04,7.761e+03,6.788e+02,8.486e+04
72.2,5.579e+04,5.057e+03,7.091e+02,6.155e+04
73.8,4.068e+04,2.501e+03,5.558e+02,4.373e+04
75.4,3.778e+04,9.392e+02,4.068e+02,3.912e+04
77.0,4.616e+04,3.089e+02,3.274e+02,4.679e+04
78.5,6.015e+04,4.431e+02,2.676e+02,6.086e+04
80.1,8.148e+04,1.631e+03,3.338e+02,8.344e+04
81.7,1.088e+05,4.241e+03,7.454e+02,1.138e+05
83.2,1.381e+05,6.998e+03,1.691e+03,1.468e+05
84.8,1.777e+05,7.123e+03,1.946e+03,1.868e+05
86.4,2.313e+05,7.538e+03,1.939e+03,2.407e+05
87.9,2.824e+05,1.035e+04,2.445e+03,2.952e+05
89.5,3.091e+05,1.466e+04,2.938e+03,3.266e+05
91.1,3.144e+05,1.915e+04,3.573e+03,3.371e+05
92.7,3.084e+05,2.261e+04,5.603e+03,3.366e+05
94.2,2.952e+05,2.140e+04,8.412e+03,3.250e+05
95.8,2.841e+05,1.657e+04,9.899e+03,3.106e+05
97.4,2.712e+05,1.146e+04,1.028e+04,2.929e+05
98.9,2.453e+05,9.517e+03,9.908e+03,2.648e+05
100.5,2.305e+05,7.035e+03,9.569e+03,2.471e+05
102.1,2.264e+05,5.095e+03,9.631e+03,2.412e+05
103.6,2.174e+05,4.037e+03,9.122e+03,2.305e+05
105.2,2.056e+05,3.388e+03,8.338e+03,2.174e+05
106.8,1.942e+05,3.083e+03,7.525e+03,2.048e+05
108.4,1.839e+05,3.044e+03,6.796e+03,1.938e+05
109.9,1.745e+05,2.997e+03,6.339e+03,1.838e+05
111.5,1.651e+05,2.918e+03,6.052e+03,1.741e+05
113.1,1.564e+05,2.860e+03,5.836e+03,1.651e+05
114.6,1.478e+05,2.788e+03,5.650e+03,1.562e+05
116.2,1.357e+05,2.649e+03,5.393e+03,1.437e+05
117.8,1.194e+05,2.389e+03,4.831e+03,1.267e+05
119.4,1.047e+05,2.303e+03,4.154e+03,1.112e+05
120.9,8.282e+04,2.014e+03,3.202e+03,8.804e+04
122.5,6.888e+04,1.798e+03,2.597e+03,7.327e+04
124.1,6.703e+04,1.868e+03,2.569e+03,7.147e+04
125.6,6.593e+04,1.984e+03,2.759e+03,7.068e+04
